NB,Member State,Start,End,Duration,Reasons/Scope
175,Germany,12/05/2020,11/11/2020,184,"secondary movements, situation at the external borders; land border with Austria"
174,Estonia,15/04/2020,01/05/2020,17,coronavirus COVID-19; all internal borders
173,Portugal,15/04/2020,05/05/2020,21,coronavirus COVID-19; land border with Spain
172,Norway,15/04/2020,05/05/2020,21,coronavirus COVID-19; all internal borders
172,Norway,15/05/2020,13/08/2020,91,coronavirus COVID-19; all internal borders
172,Norway,12/05/2020,12/11/2020,184,"terrorist threats, secondary movements; ports with ferry connections with Denmark, Germany and Sweden"
171,Poland,14/04/2020,03/05/2020,20,"coronavirus COVID-19; land borders with Czechia, Slovakia, Germany, Lithuania, sea borders, air borders"
170,Hungary,11/04/2020,01/05/2020,21,coronavirus COVID-19; all land and air borders
169,Slovakia,08/04/2020,17/04/2020,10,"coronavirus COVID-19, all internal borders"
168,Spain,11/04/2020,26/04/2020,16,coronavirus COVID-19; all land borders
167,Austria,10/04/2020,27/04/2020,18,coronavirus COVID-19; land borders with Czechia and Slovakia
166,Lithuania,13/04/2020,27/04/2020,15,coronavirus COVID-19; all internal borders
165, Switzerland,12/04/2020,02/05/2020,21,coronavirus COVID-19; all internal air and land borders except from borders with Liechtenstein
164, Sweden,12/05/2020,12/11/2020,184,"terrorist threats, shortcomings at the external borders"
164, Sweden,12/05/2020,12/11/2020,184,"coronavirus COVID-19 (to the extent necessary), terrorist threats, organized criminality; all land, air, and sea borders"
163, Denmark,12/05/2020,12/11/2020,184,"may concern all internal borders. After lifting the COVID-19 travel restrictions, the border controls will be limited to the Danish land and sea borders with Germany and Sweden (Øresundsforbindelsen)"
162, Austria,08/04/2020,27/04/2020,20,"coronavirus COVID-19; land borders with Germany, Italy, Switzerland, and Liechtenstein"
161, Finland,14/04/2020,13/05/2020,30,coronavirus COVID-19; all internal borders
160, Switzerland,08/05/2020,31/05/2020,24,coronavirus COVID-19; all air borders except air borders with Liechtenstein
159, Czechia,04/05/2020,15/05/2020,12,"coronavirus COVID-19; land borders with Germany and Austria, air borders"
158, France,04/05/2020,13/05/2020,10,"continuous terrorist threat and the risk of terrorists using the vulnerability of States due to COVID-19 pandemics, support to measures aiming at containing the spread of virus; all internal borders"
157, Belgium,05/05/2020,15/05/2020,11,coronavirus COVID-19; all internal borders
156, Portugal,05/05/2020,15/05/2020,11,coronavirus COVID-19; land border with Spain
155, Norway,24/04/2020,14/05/2020,21,coronavirus COVID-19; all internal borders
154, Spain,02/05/2020,08/06/2020,38,coronavirus COVID-19; all land borders
153, Germany,05/05/2020,16/05/2020,12,"coronavirus COVID-19; internal land and air borders with Austria ,Switzerland, France, Luxembourg, Denmark, Italy, and Spain, sea border with Denmark"
152, Poland,08/05/2020,08/06/2020,32,"coronavirus COVID-19; land borders with Czechia, Slovakia, Germany, Lithuania, sea borders, air borders"
151, Lithuania,26/04/2020,10/05/2020,15,coronavirus COVID-19: all internal borders
150, Switzerland,01/05/2020,11/05/2020,11,coronavirus COVID-19: all air borders except air borders with Liechtenstein
149, Estonia,01/05/2020,17/05/2020,17,coronavirus COVID-19: all internal borders
148, Switzerland,28/04/2020,07/05/2020,10,"coronavirus COVID-19: air borders with Italy, France, Germany, Austria, and Spain"
147, Switzerland,28/04/2020,14/05/2020,17,"coronavirus COVID-19: land borders with France, Germany, and Austria"
146, Switzerland,24/04/2020,04/05/2020,11,coronavirus COVID-19: land border with Italy
145, Belgium,12/05/2020,11/11/2020,184,coronavirus COVID-19: all internal borders
144, Germany,19/04/2020,08/05/2020,20,"coronavirus COVID-19: air borders with Austria, Switzerland, France, Luxembourg, Denmark, Italy, and Spain, sea borders with Denmark"
143, Austria,17/04/2020,07/05/2020,21,"coronavirus COVID-19: land borders with Germany, Italy, Switzerland, and Liechtenstein"
142, Hungary,15/04/2020,05/05/2020,21,"coronavirus COVID-19: land borders with Slovenia, Austria, and Slovakia, all air borders"
141, Switzerland,12/05/2020,11/11/2020,184,"coronavirus COVID-19: air borders with Spain, Italy, France, Germany, and Austria"
140, Finland,15/04/2020,01/05/2020,17,coronavirus COVID-19: all internal borders
139, Spain,15/04/2020,05/05/2020,21,coronavirus COVID-19: all land borders
138, Portugal,15/04/2020,05/05/2020,21,coronavirus COVID-19: land border with Spain
137, Switzerland,15/05/2020,13/08/2020,91,"coronavirus COVID-19: land borders with France, Germany, and Austria"
136, Norway,12/05/2020,12/11/2020,184,coronavirus COVID-19: all internal borders
135, Estonia,14/04/2020,03/05/2020,20,"coronavirus COVID-19: land borders with Latvia, air borders, sea borders"
134, Czechia,11/04/2020,01/05/2020,21,"coronavirus COVID-19: land borders with Germany and Austria, air borders"
133, Germany,08/04/2020,17/04/2020,10,"coronavirus COVID-19: land borders with Luxembourg, France, Switzerland, and Austria"
132, Lithuania,11/04/2020,26/04/2020,16,coronavirus COVID-19: all internal borders
131, Poland,10/04/2020,27/04/2020,18,"coronavirus COVID-19: land borders with Czechia, Slovakia, Germany, Lithuania, sea borders, air borders"
130, Denmark,13/04/2020,27/04/2020,15,"coronavirus COVID-19, terrorist threats, organized criminality from Sweden: all land, air and sea borders"
129, Austria,12/04/2020,02/05/2020,21,coronavirus COVID-19: land borders with Switzerland and Liechtenstein
128, Switzerland,12/05/2020,12/11/2020,184,coronavirus COVID-19: land border with Italy
127, Czechia,12/05/2020,12/11/2020,184,"coronavirus COVID-19: land borders with Austria and Germany, air borders"
126, Hungary,12/05/2020,12/11/2020,184,coronavirus COVID-19: land borders with Austria and Slovenia
125, Austria,08/04/2020,27/04/2020,20,coronavirus COVID-19: land border with Italy
124, Spain,14/04/2020,13/05/2020,30,"XXV United Nations Conference on Climate Change (COP25) in Madrid: Air borders (mainly Madrid and Barcelona airports), sea borders, mainly ports in northern Spain, land border with France, keeping the usual authorized crossing points."
123, Norway,12/11/2019,12/05/2020,184,"terrorist threats, secondary movements; 12/11/2019 - 12/05/2020, terrorist threats, shortcomings at the external borders; 12/11/2019 - 12/05/2020, terrorist threats, organized criminality from Sweden"
122, Sweden,12/11/2019,12/05/2020,184,"terrorist threats, shortcomings at the external borders; to be determined but may concern all internal borders;"
121, Denmark,12/11/2019,12/05/2020,184,"terrorist threats, organized criminality from Sweden; land border with Germany and with Sweden, ferry connections to Germany and to Sweden, until 12 May 2020;"
120, Austria,12/11/2019,12/05/2020,184,"coronavirus COVID-19 (as of mid-March), secondary movements, risk related to terrorists and organized crime, situation at the external borders; land borders with Hungary and with Slovenia"
119, Germany,12/11/2019,12/05/2020,184,"secondary movements, situation at the external borders; land border with Austria;"
118, France,12/11/2019,12/05/2020,184,"secondary movements, situation at the external borders; 31/10/2019 - 30/04/2020, coronavirus COVID-19 (as of beginning of March), persistent terrorist threat, upcoming high profile political event in Paris, secondary movements; land border with Austria; all internal borders"
117, Norway,12/05/2019,12/11/2019,184,"security situation in Europe; all internal borders with an initial focus on ferry connections with Denmark, Germany, and Sweden"
116, Sweden,12/05/2019,12/11/2019,184,serious threat to public policy and internal security; to be determined but may concern all internal borders
115, Denmark,12/05/2019,12/11/2019,184,severe threat to public order and internal security; internal border with Germany (land and ports with ferry connections)
114, Austria,12/05/2019,12/11/2019,184,security situation in Europe and continuous significant secondary movements; land borders with Hungary and with Slovenia
113, Germany,12/05/2019,12/11/2019,184,migration and security policy; land border with Austria
112, France,01/05/2019,31/10/2019,184,"Terrorist threats, situation at the external borders"
111, Poland,10/02/2019,16/02/2019,7,Ministerial to Promote a Future of Peace and Security in the Middle East; all internal borders
110, Sweden,12/02/2019,11/05/2019,89,serious threat to public policy and internal security; all internal borders
109, Poland,22/11/2018,16/12/2018,25,"climate conference COPT 24, all internal borders"
108, Austria,12/11/2018,11/05/2019,182,security situation in Europe and threats resulting from the continuous significant secondary movements; land borders with Hungary and with Slovenia
107, Norway,12/11/2018,11/05/2019,182,"security situation in Europe and threats resulting from the continuous significant secondary movements; all internal borders with an initial focus on ferry connections with Denmark, Germany, and Sweden"
106, Sweden,12/11/2018,11/02/2019,92,serious threat to public policy and internal security; all internal borders
105, Denmark,12/11/2018,11/05/2019,182,persistent and severe threat to public order and internal security; all internal borders with an initial focus on the land border with Germany and ports with connection to Germany
104, Germany,12/11/2018,11/05/2019,182,threats resulting from the continuous significant secondary movements; land border with Austria
103, France,01/11/2018,30/04/2019,181,"Terrorist threats, situation at the external borders, upcoming high-level political meetings"
102, Austria,17/09/2018,21/09/2018,5,"informal meeting of the European Council in Salzburg; border Salzburg and Upper Austria to Germany, border East Tyrol and Carinthia to Italy, Salzburg Airport (all arriving flights)"
101, Austria,07/09/2018,13/09/2018,7,"informal meeting of Justice and Home Affairs Ministers in Innsbruck; border Tyrol to Germany, border North Tyrol to Italy, Innsbruck Airport (all arriving flights)"
100, Norway,12/05/2018,11/11/2018,184,"security situation in Europe and threats resulting from the continuous significant secondary movements; all internal borders with an initial focus on ferry connections with Denmark, Germany, and Sweden"
99, Sweden,12/05/2018,11/11/2018,184,continuous serious threat to public policy and internal security; all internal borders
98, Denmark,12/05/2018,11/11/2018,184,security situation in Europe and threats resulting from the continuous significant secondary movements; all internal borders with an initial focus on the land border with Germany and ports with connection to Germany
97, Germany,12/05/2018,11/11/2018,184,security situation in Europe and threats resulting from the continuous significant secondary movements; land border with Austria
96, Austria,12/05/2018,11/11/2018,184,security situation in Europe and threats resulting from the continuous significant secondary movements; land borders with Hungary and with Slovenia
95, France,30/04/2018,30/10/2018,184,persistent terrorist threat; all internal borders
94, Sweden,12/11/2017,19/11/2017,8,Social Summit for Fair Jobs and Growth; Gothenburg Landvetter Airport and Svinesund (Sweden/Norway border)
93, Norway,12/11/2017,12/05/2018,182,"security situation in Europe and threats resulting from the continuous significant secondary movements; ferry connections with Denmark, Germany, and Sweden"
92, Sweden,12/11/2017,12/05/2018,182,security situation in Europe and threats resulting from the continuous significant secondary movements; selected harbours in Police Regions South and West and at the Öresund Bridge
91, Denmark,12/11/2017,12/05/2018,182,security situation in Europe and threats resulting from the continuous significant secondary movements; internal border with Germany
90, Germany,12/11/2017,12/05/2018,182,security situation in Europe and threats resulting from the continuous significant secondary movements; land border with Austria and flight connections from Greece
89, Austria,12/11/2017,12/05/2018,182,Security situation in Europe and threats resulting from the continuous significant secondary movements; land borders with Hungary and with Slovenia
88, France,01/11/2017,30/04/2018,181,Persistent terrorist threat;All internal borders
87, Norway,26/08/2017,25/09/2017,31,UCI Road World Championship in Bergen; Bergen air border
86, France,16/07/2017,31/10/2017,108,Persistent terrorist threat; all internal borders
85, Italy,10/05/2017,30/05/2017,21,G7 Summit Taormina
84, Norway,11/05/2017,11/11/2017,185,"In line with Recommendation of the Council of 11 May 2017, in the Norwegian ports with ferry connections to Denmark, Germany, and Sweden"
83, Sweden,11/05/2017,11/11/2017,185,"In line with Recommendation of the Council of 11 May 2017, Swedish harbors in the Police Region South and West and at the Öresund bridge"
82, Denmark,11/05/2017,11/11/2017,185,"In line with Recommendation of the Council of 11 May 2017, Danish ports with ferry connections to Germany and at the Danish-German land border"
81, Germany,11/05/2017,11/11/2017,185,"In line with Recommendation of the Council of 11 May 2017, land border with Austria"
80,Austria,11/05/2017,11/11/2017,185,"In line with Recommendation of the Council of 11 May 2017, land border with Slovenia and with Hungary"
79,Norway,11/02/2017,11/05/2017,89,"In line with Recommendation of the Council of 7 February 2017, in the Norwegian ports with ferry connections to Denmark, Germany and Sweden"
78,Sweden,11/02/2017,10/05/2017,88,"In line with Recommendation of the Council of 7 February 2017, Swedish harbors in the Police Region South and West and at the Öresund bridge"
77,Denmark,11/02/2017,11/05/2017,89,"In line with Recommendation of the Council of 7 February 2017, Danish ports with ferry connections to Germany and at the Danish-German land border"
76,Germany,11/02/2017,11/05/2017,89,"In line with Recommendation of the Council of 7 February 2017, land border with Austria"
75,Austria,11/02/2017,11/05/2017,89,"In line with Recommendation of the Council of 7 February 2017, land border with Slovenia and with Hungary"
74,France,27/01/2017,15/07/2017,170,Persistent terrorist threat - all internal borders
73,Malta,21/01/2017,09/02/2017,20,Malta Informal Summit and Joint Valetta Action Plan Meeting - air and sea borders
72,Norway,12/11/2016,12/02/2017,93,"In line with Recommendation of the Council of 11 November 2016, in the Norwegian ports with ferry connections to Denmark, Germany and Sweden"
71,Sweden,12/11/2016,12/02/2017,93,"In line with Recommendation of the Council of 11 November 2016, Swedish harbors in the Police Region South and West and at the Öresund bridge"
70,Denmark,12/11/2016,12/02/2017,93,"In line with Recommendation of the Council of 11 November 2016, Danish ports with ferry connections to Germany and at the Danish-German land border"
69,Germany,12/11/2016,12/02/2017,93,"In line with Recommendation of the Council of 11 November 2016, land border with Austria"
68,Austria,12/11/2016,12/02/2017,93,"In line with Recommendation of the Council of 11 November 2016, land border with Slovenia and with Hungary"
67,France,26/07/2016,26/01/2017,185,In relation to the emergency state as introduced further to the Nice attack All internal borders
66,Poland,04/07/2016,02/08/2016,30,"NATO Summit, World Youth Days and visit of Pope All internal borders"
65,Norway,10/06/2016,12/11/2016,156,"In line with Recommendation of the Council of 12 May 2016 under Art.29 of the SBC Norwegian ports with ferry connections to Denmark, Germany and Sweden."
64,Sweden,08/06/2016,12/11/2016,158,In line with Recommendation of the Council of 12 May 2016 under Art.29 of the SBC Swedish harbours in the Police Region South and West and at the Öresund bridge
63,Denmark,01/06/2016,12/11/2016,165,In line with Recommendation of the Council of 12 May 2016 under Art.29 of the SBC Danish ports with ferry connections to Germany and at the Danish-German land border
62,Austria,16/05/2016,12/11/2016,181,"In line with Recommendation of the Council of 12 May 2016 under Art.29 of the SBC, land border with Slovenia and with Hungary"
61,Germany,12/05/2016,12/11/2016,185,"In line with Recommendation of the Council of 12 May 2016 under Art.29 of the SBC, land border with Austria"
60,France,27/05/2016,26/07/2016,61,"EURO 2016, Tour de France, All internal borders"
59,Belgium,23/02/2016,22/04/2016,60,Irregular migrants attempting to travel to UK - Border between the Province of West-Vlaanderen and France
58,Denmark,04/03/2016,02/06/2016,91,"Big influx of persons seeking international protection; All internal borders, with focus on ferries from Germany and land border with Germany."
57,Norway,15/01/2016,11/06/2016,149,Continues threat of big influx of persons seeking international protection; All borders with focus on ports with ferry connections to Norway via internal borders
56,Sweden,10/01/2016,07/06/2016,150,"Continuous big influx of persons seeking international protection; All borders, with special focus on harbours in Police Region South and Police Region West as well as on the Öresund Bridge between Denmark and Sweden."
55,Denmark,04/01/2016,03/03/2016,61,"Unexpected migratory flow; All internal borders, with focus on ferries from Germany and land border with Germany."
54,France,14/12/2015,26/05/2016,165,In relation to the emergency state as introduced further to Paris attacks; All internal borders
53,Norway,26/11/2015,15/01/2016,51,Unexpected migratory flow; All borders with focus on ports with ferry connections to Norway via internal borders
52,Austria,16/11/2015,16/05/2016,183,"Continuous big influx of persons seeking international protection; All borders, with special focus on the land border with Slovenia, Hungary and Italy, subject to possible changes; The border can be crossed only at authorised border crossing points (the list attached)"
51,Germany,14/11/2015,13/05/2016,182,"Continuous big influx of persons seeking international protection; All borders, with focus on the German-Austrian land border"
50,France,13/11/2015,13/12/2015,31,"21st UN Conference on Climate Change from 30 November to 11 December 2015, internal land borders and air borders"
49,Sweden,12/11/2015,09/01/2016,59,"Unprecedented influx of persons; All borders, with special focus on harbours in Police Region South and Police Region West as well as on the Öresund Bridge between Denmark and Sweden."
48,Malta,9/11/2015,31/12/2015,53,Valetta Conference on Migration and Commonwealth Heads of Government Meeting; Terrorist threat and smuggling of illegal migrants; Air and sea passanger terminal
47,Hungary,17/10/2015,26/10/2015,10,"Big influx of persons seeking international protection, land borders with Slovenia"
46,Slovenia,17/9/2015,26/9/2015,10,"Big influx of persons seeking international protection, land borders with Hungary"
45,Slovenia,27/9/2015,16/10/2015,20,"Big influx of persons seeking international protection, land borders with Hungary"
44,Austria,16/9/2015,25/9/2015,10,"Big influx of persons seeking international protection, all borders, focus on land borders with Italy, Hungary, Slovenia and Slovakia"
43,Austria,26/9/2015,15/10/2015,20,"Big influx of persons seeking international protection, all borders, focus on land borders with Italy, Hungary, Slovenia and Slovakia"
42,Austria,16/10/2015,4/11/2015,20,"Big influx of persons seeking international protection, all borders, focus on land borders with Italy, Hungary, Slovenia and Slovakia"
41,Austria,5/11/2015,15/11/2015,11,"Big influx of persons seeking international protection, all borders, focus on land borders with Italy, Hungary, Slovenia and Slovakia"
40,Germany,13/09/2015,22/09/2015,10,"Big influx of persons seeking international protection, all borders with focus on Austrian land borders"
39,Germany,23/09/2015,12/10/2015,20,"Big influx of persons seeking international protection, all borders with focus on Austrian land borders"
38,Germany,13/10/2015,1/11/2015,20,"Big influx of persons seeking international protection, all borders with focus on Austrian land borders"
37,Germany,2/11/2015,13/11/2015,12,"Big influx of persons seeking international protection, all borders with focus on Austrian land borders"
36,Germany,16/5/2015,15/6/2015,31,G7 Summit
35,Estonia,31/8/2014,3/9/2014,4,Visit of the US President
34,Norway,24/7/2014,31/7/2014,8,terrorist threat
33,Belgium,1/6/2014,6/6/2014,6,G7 Summit
32,Netherlands,14/3/2014,28/3/2014,15,Netherlands on 14-28 March 2014 Nuclear Security Summit in the Hague
31,Poland,8/11/2013,23/11/2013,16,"19th session of the Conference of the Parties to the UN Framework Convention on Climate Change (UNFCCC), the 9th session of the Conference of the Parties serving as the Meeting of the Parties to the Kyoto Protocol and the 39th Session of the Subsidiary Bodies in Warsaw (11-22/11/2013),All internal borders"
30,Norway,3/12/2012,12/12/2012,10,Nobel Peace Prize ceremony in Oslo (10/12/2012)
29,Poland,4/6/2012,1/7/2012,28,"Euro 2012 Football Championships (8/6-1/7/2012),All internal borders"
28,Spain,2/5/2012,4/5/2012,3,Meeting of the Governing Council of the European Central Bank in Barcelona
27,France,24/10/2011,05/11/2011,13,G-20 meeting in Cannes (03-04/11/2011)
26,Sweden,22/07/2011,23/07/2011,2,Bomb explosion in Oslo and shooting on the island Utøya on – 22/07/2011
25,Norway,22/07/2011,25/07/2011,4,Bomb explosion in Oslo and shooting on the island Utøya on 22/07/2011
24,Austria,04/06/2011,09/06/2011,6,World Economic Forum (07/06/-09/06/2011)
23,Portugal,16/11/2010,20/11/2010,5,NATO Summit in Lisbon (19/11/-20/11)
22,Latvia,24/05/2010,01/06/2010,9,NATO Parliamentary Assembly in Riga (28/05-01/06/2010)
21,France,28/05/2010,02/06/2010,6,Franco-African Summit in Nice (31/05-01/06/2010).
20,Estonia,17/04/2010,23/04/2010,7,Informal meeting of NATO Foreign Ministers in Tallinn (22- 23/04/2010).
19,Malta,5/04/2010,18/04/2010,14,Visit of Pope Benedict XVI (17-18/04/2010)
18,Denmark,1/12/2009,18/12/2009,18,UN Climate Change Conference in Copenhagen (7- 18/12/2009). DK-DE and DK-SE borders
17,Norway,27/11/2009,12/12/2009,16,– Nobel Peace Prize Ceremony in Oslo (10/12/2009).
16,France,27/09/2009,27/09/2009,1,"50th Anniversary of ETA. FR-ES land borders, BCP border complex from Hendaye to Arneguy (14 border crossing points)."
15,Spain,26/09/2009,27/09/2009,2,Celebration of ‘Basque Warrior day’ in the Basque Country and Navarra (ES) and in Pyrénées-Orientales (FR) ES-FR land borders in the provinces of Guipuzcoa and Navarra
14,France,19/09/2009,19/09/2009,1,"Demonstration by Batasuna in Bayonne. Five FR-ES border crossing points (highway A63, St Jacques international bridge , Béhobie international bridge, Hendaye station, port of Hendaye)"
13,Italy,28/06/2009,15/07/2009,18,"G8 Summit in L’Aquila (10-12/7/2009); Land, air and sea borders"
12,France,30/03/2009,5/04/2009,7,"NATO Summit in Strasbourg (3-4/4/2009); Land and air borders with BE, LU, DE, CH, IT and ES"
11,Germany,20/03/2009,5/04/2009,17,"NATO Summit in Strasbourg, Baden-Baden and Kehl (3- 4/4/2009). Land, air and sea borders"
10,Iceland,05/03/2009,07/03/2009,3,"Visit of MC Hells Angels to the Icelandic Motorcycle club in Reykjavik.Air borders (16 flights checked from SE, DK, NL, FR, DE, and NO)"
9,Finland,24/11/2008,5/12/2008,12,Meeting of Council of Ministers of OSCE in Helsinki (4- 5/12/2008). Controls mainly at Helsinki-Vantaa airport and at ports of Helsinki and Turku
8,France,27/09/2008,27/09/2008,1,"Demonstration on 27 September at 16:00 in Bayonne,supervised by Batasuna.Five FR-ES border crossing points (Hendaye: highway A63, St Jacques international bridge, Béhobie international bridge, Hendaye station, port of Hendaye)"
7,Austria,02/06/2008,01/07/2008,30,"European Football Championship EURO 2008, AT — CH (7/6-29/6/2008). Land and air borders"
6,Iceland,2/11/2007,3/11/2007,2,"Participation of MC Hells Angels at the inauguration of the Icelandic Motorcycle club in Reykjavik (1-4/11/2007). Air borders (14 flights checked from SE, DK, FI, DE and NO)"
5,Germany,25/5/2007,9/06/2007,16,"G8 Summit in Heiligendamm/Mecklenburg-Western Pomerania (6-8/6/2007) Land, air and sea borders"
4,France,12/02/2007,16/02/2007,5,Conference of Heads of States of Africa and France in Cannes (13-16/2/2007). FR-IT border (detailed information provided in the notification)
3,Finland,13/11/2006,29/11/2006,17,"EUROMED meeting in Tampere. Controls mainly at Helsinki-Vantaa, Turku and Tampere- Pirkkala airports and the ports of Helsinki, Hanko and Turku, FI-SE and FI-NO land borders"
2,Finland,9/10/2006,21/10/2006,13,"Informal meeting of Heads of States and Government in Lahti. Controls mainly at Helsinki-Vantaa, Turku and Tampere- Pirkkala airports and the ports of Helsinki, Hanko and Turku, FI-SE and FI-NO land borders"
1,France,21/10/2006,21/10/2006,1,"Youth Days of radical young Basques in Saint-Pée-sur-Nivelle and demonstration organised in Bayonne by the support committee of Philippe Bidart. FR-ES land border (border crossing point on the highway A63 in Biriatou, St Jacques bridge, Béhobie bridge, Hendaye station)"
